description,label,bridge
Construction of drainage,43120,QRSTU
Construction of bridges,42130,QRSTV
Construction of power lines,42220,QRSTX
Pipelines & sewerage construction,42210,QRSTY
Construction of waterways,42910,QRSUQ
Construction of coastal defences,42910,QRSUR
Construction of dams,42910,QRSUS
Construction of dredging,42910,QRSUT
Other construction - foundations,43999,QRSUU
Other construction - steel work erection & reinforcing,43999,QRSUV
Other construction - concreting,43999,QRSUW
Installation of burglar alarms & security systems,43210,QRSUX
Insulating activities,43290,QRSUY
Construction of harbours,42910,QRSUZ
Installation and maintenance of refrigeration,43220,QRSVQ
Street lighting installation,43210,QRSVR
Other building completion - installation of fences,43290,QRSVS
Sign installation,43210,QRSVT
Signalling systems installation,43210,QRSVU
Other building completion - maintenance,43390,QRSVV
Other building completion -restoration,43390,QRSVW
Other building completion - sandblasting,43390,QRSVX
Other building completion - repair,43390,QRSVY
Sound & thermal insulating activities,43290,QRSVZ
Housing improvements construction,41202,QRSWQ
Cereals farming,1110,QRSWR
General cropping farming,1110,QRSWS
Other horticulture farming,1190,QRSWT
Specialist glass farming,1130,QRSWU
Specialist hardy nursery stock farming,1190,QRSWV
Specialist fruit farming,1240,QRSWW
Dairy - less favoured areas (lfa) farming,1410,QRSWX
Specialist beef - severely disadvantaged land (sda) farming,1420,QRSWY
Other building completion - stonework,43390,QRSWZ
Mixed grazing livestock - severely disadvantaged land (sda) farming,1450,QRSXQ
Specialist horses farming,1430,QRSXR
Specialist sheep - severely disadvantaged land (sda) farming,1450,QRSXS
Various grazing livestock - disadvantaged land (da) farming,1450,QRSXT
Cropping and dairy farming,1500,QRSXV
Cropping and mixed livestock farming,1500,QRSXW
"Cropping, cattle and sheep farming",1500,QRSXX
"Cropping, pigs and poultry farming",1500,QRSXY
Mixed livestock farming,1450,QRSXZ
Other farming - non-classifiable,1500,QRSYQ
Specialist grass and forage farming,1500,QRSYR
Specialist set-aside farming,1500,QRSYS
Mixed farming (no more than 50% in any of the above),1500,QRSYT
Agriculture and horticulture,1500,QRSYU
Extraction and preparation of metalliferous ores,7290,QRSYV
